AUGBL,AUGCP,AUGDT,BDIF2,BDIFF,BELNR,BSCHL,BUKRS,BUZEI,DMBTR,FCSL,FDTAG,FDWBT,FKONT,FWBAS,FWZUZ,GBETR,GJAHR,HWBAS,HWZUZ,KOART,KOKRS,KURSR,KZBTR,LWBTR,LWSTS,MANDT,MWSTS,PSWBT,PSWSL,QSSHB,RFCCUR,SHKZG,TXBFW,TXBHW,TXDAT_FROM,TXGRP,VALUT,VORGN,WMWST,WRBTR,ZUONR
,00/00/0000,00/00/0000,0.00,0.00,1500000169,50,US00,001,"1,847.42","1,847.42",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,847.42",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,847.42",20260601
1500000169,06/01/2026,06/01/2026,0.00,0.00,1500000169,25,US00,002,"1,847.42","1,847.42",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,847.42",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"1,847.42",
,00/00/0000,00/00/0000,0.00,0.00,1500000170,50,US00,001,768.18,768.18,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,768.18,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,768.18,20260601
1500000170,06/01/2026,06/01/2026,0.00,0.00,1500000170,25,US00,002,768.18,768.18,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,768.18,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,768.18,
,00/00/0000,00/00/0000,0.00,0.00,1500000171,50,US00,001,770.07,770.07,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,770.07,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,770.07,20260601
1500000171,06/01/2026,06/01/2026,0.00,0.00,1500000171,25,US00,002,770.07,770.07,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,770.07,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,770.07,
,00/00/0000,00/00/0000,0.00,0.00,1500000172,50,US00,001,"2,825.46","2,825.46",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,825.46",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,825.46",20260601
1500000172,06/01/2026,06/01/2026,0.00,0.00,1500000172,25,US00,002,"2,825.46","2,825.46",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,825.46",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,825.46",
,00/00/0000,00/00/0000,0.00,0.00,1500000173,50,US00,001,"2,467.90","2,467.90",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,467.90",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,467.90",20260601
1500000173,06/01/2026,06/01/2026,0.00,0.00,1500000173,25,US00,002,"2,467.90","2,467.90",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,467.90",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,467.90",
,00/00/0000,00/00/0000,0.00,0.00,1500000174,50,US00,001,"2,687.52","2,687.52",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,687.52",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,687.52",20260601
1500000174,06/01/2026,06/01/2026,0.00,0.00,1500000174,25,US00,002,"2,687.52","2,687.52",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,687.52",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,687.52",
,00/00/0000,00/00/0000,0.00,0.00,1500000175,50,US00,001,"1,814.80","1,814.80",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,814.80",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,814.80",20260601
1500000175,06/01/2026,06/01/2026,0.00,0.00,1500000175,25,US00,002,"1,814.80","1,814.80",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,814.80",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"1,814.80",
,00/00/0000,00/00/0000,0.00,0.00,1500000176,50,US00,001,"2,087.42","2,087.42",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,087.42",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,087.42",20260601
1500000176,06/01/2026,06/01/2026,0.00,0.00,1500000176,25,US00,002,"2,087.42","2,087.42",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,087.42",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,087.42",
,00/00/0000,00/00/0000,0.00,0.00,1500000177,50,US00,001,"2,481.75","2,481.75",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,481.75",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,481.75",20260601
1500000177,06/01/2026,06/01/2026,0.00,0.00,1500000177,25,US00,002,"2,481.75","2,481.75",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,481.75",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,481.75",
,00/00/0000,00/00/0000,0.00,0.00,1500000178,50,US00,001,"1,029.60","1,029.60",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,029.60",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,029.60",20260601
1500000178,06/01/2026,06/01/2026,0.00,0.00,1500000178,25,US00,002,"1,029.60","1,029.60",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,029.60",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"1,029.60",
,00/00/0000,00/00/0000,0.00,0.00,1500000179,50,US00,001,"2,172.30","2,172.30",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,172.30",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,172.30",20260601
1500000179,06/01/2026,06/01/2026,0.00,0.00,1500000179,25,US00,002,"2,172.30","2,172.30",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,172.30",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,172.30",
,00/00/0000,00/00/0000,0.00,0.00,1500000180,50,US00,001,"2,609.65","2,609.65",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,609.65",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,609.65",20260601
1500000180,06/01/2026,06/01/2026,0.00,0.00,1500000180,25,US00,002,"2,609.65","2,609.65",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,609.65",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,609.65",
,00/00/0000,00/00/0000,0.00,0.00,1500000181,50,US00,001,802.60,802.60,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,802.60,USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,802.60,20260601
1500000181,06/01/2026,06/01/2026,0.00,0.00,1500000181,25,US00,002,802.60,802.60,00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,802.60,USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,802.60,
,00/00/0000,00/00/0000,0.00,0.00,1500000182,50,US00,001,"1,558.43","1,558.43",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,558.43",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"1,558.43",20260601
1500000182,06/01/2026,06/01/2026,0.00,0.00,1500000182,25,US00,002,"1,558.43","1,558.43",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"1,558.43",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"1,558.43",
,00/00/0000,00/00/0000,0.00,0.00,1500000183,50,US00,001,"2,965.68","2,965.68",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,965.68",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,965.68",20260601
1500000183,06/01/2026,06/01/2026,0.00,0.00,1500000183,25,US00,002,"2,965.68","2,965.68",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,965.68",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,965.68",
,00/00/0000,00/00/0000,0.00,0.00,1500000184,50,US00,001,"2,195.55","2,195.55",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,195.55",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,195.55",20260601
1500000184,06/01/2026,06/01/2026,0.00,0.00,1500000184,25,US00,002,"2,195.55","2,195.55",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,195.55",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,195.55",
,00/00/0000,00/00/0000,0.00,0.00,1500000185,50,US00,001,"2,151.04","2,151.04",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,151.04",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,151.04",20260601
1500000185,06/01/2026,06/01/2026,0.00,0.00,1500000185,25,US00,002,"2,151.04","2,151.04",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,151.04",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,151.04",
,00/00/0000,00/00/0000,0.00,0.00,1500000186,50,US00,001,"2,210.20","2,210.20",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,210.20",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,210.20",20260601
1500000186,06/01/2026,06/01/2026,0.00,0.00,1500000186,25,US00,002,"2,210.20","2,210.20",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,210.20",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,210.20",
,00/00/0000,00/00/0000,0.00,0.00,1500000187,50,US00,001,"2,956.10","2,956.10",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,S,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,956.10",USD,0.00,USD,H,0.00,0.00,00/00/0000,000,06/01/2026,RFBU,0.00,"2,956.10",20260601
1500000187,06/01/2026,06/01/2026,0.00,0.00,1500000187,25,US00,002,"2,956.10","2,956.10",00/00/0000,0.00,000,0.00,0.00,0.00,2026,0.00,0.00,K,NA00,0.00000,0.00,0.00,0.00,204,0.00,"2,956.10",USD,0.00,USD,S,0.00,0.00,00/00/0000,000,00/00/0000,RFBU,0.00,"2,956.10",
