ADRNR,AFNAM,ARSNR,ARSPS,BADAT,BANFN,BATOL,BEDAT,BNFPO,BSART,BSMNG,BSTYP,BUMNG,BVDAT,BVDRK,CUOBJ,DAT01,DISPO,EBELN,EBELP,EKGRP,EKORG,ERDAT,ERNAM,ESTKZ,FRGDT,KTPNR,LFDAT,LIMIT_CONSUMPTION_VALUE,LPEIN,MANDT,MATKL,MATNR,MEINS,MENGE,MNG02,PACKNO,PEINH,PREIS,PSTYP,QUPOS,REPOS,RSNUM,STATU,TXZ01,WEBAZ,WEPOS,WERKS
0000130026,00000869,0000000000,0000,06/01/2026,0010000313,0,06/01/2026,00010,NB,71.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000275,00010,N00,US00,06/01/2026,LEARN-800,S,06/14/2026,00000,06/15/2026,0.00,1,204,SFTY,RHMT1800,EA,71.000,0.000,0000000000,1,26.02,0,000,X,0000000000,B,Straßenhelm,0,X,MI00
0000130028,00000869,0000000000,0000,06/01/2026,0010000314,0,06/01/2026,00010,NB,19.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000276,00010,N00,US00,06/01/2026,LEARN-800,S,06/14/2026,00000,06/15/2026,0.00,1,204,SFTY,KPAD1800,EA,19.000,0.000,0000000000,1,40.53,0,000,X,0000000000,B,Knieschoner,0,X,MI00
0000130030,00000869,0000000000,0000,06/01/2026,0010000315,0,06/01/2026,00010,NB,31.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000277,00010,N00,US00,06/01/2026,LEARN-800,S,06/14/2026,00000,06/15/2026,0.00,1,204,UTIL,FAID1800,EA,31.000,0.000,0000000000,1,24.78,0,000,X,0000000000,B,Verbandkasten,0,X,MI00
0000130032,00000869,0000000000,0000,06/01/2026,0010000316,0,06/01/2026,00010,NB,99.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000278,00010,N00,US00,06/01/2026,LEARN-800,S,06/09/2026,00000,06/15/2026,0.00,1,204,UTIL,CHSP1800,EA,99.000,0.000,0000000000,1,28.54,0,000,X,0000000000,B,Kettenschloss Security Pro 800,0,X,MI00
0000130034,00000869,0000000000,0000,06/01/2026,0010000317,0,06/01/2026,00010,NB,230.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000279,00010,N00,US00,06/01/2026,LEARN-800,S,06/14/2026,00000,06/15/2026,0.00,1,204,UTIL,BOTL1800,EA,230.000,0.000,0000000000,1,10.73,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130036,00000869,0000000000,0000,06/01/2026,0010000318,0,06/01/2026,00010,NB,40.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000280,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,FAID1800,EA,40.000,0.000,0000000000,1,25.74,0,000,X,0000000000,B,Verbandkasten,0,X,MI00
0000130038,00000869,0000000000,0000,06/01/2026,0010000319,0,06/01/2026,00010,NB,57.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000281,00010,N00,US00,06/01/2026,LEARN-800,S,06/16/2026,00000,06/22/2026,0.00,1,204,UTIL,CHLK1800,EA,57.000,0.000,0000000000,1,33.79,0,000,X,0000000000,B,Kettenschloss 800,0,X,MI00
0000130040,00000869,0000000000,0000,06/01/2026,0010000320,0,06/01/2026,00010,NB,215.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000282,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,BOTL1800,EA,215.000,0.000,0000000000,1,11.28,0,000,X,0000000000,B,Wasserflasche,0,X,MI00
0000130042,00000869,0000000000,0000,06/01/2026,0010000321,0,06/01/2026,00010,NB,135.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000283,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,SHRT1800,EA,135.000,0.000,0000000000,1,14.32,0,000,X,0000000000,B,T - Shirt,0,X,MI00
0000130044,00000869,0000000000,0000,06/01/2026,0010000322,0,06/01/2026,00010,NB,38.000,B,0.000,00/00/0000,0,000000000000000000,00/00/0000,000,4500000284,00010,N00,US00,06/01/2026,LEARN-800,S,06/21/2026,00000,06/22/2026,0.00,1,204,UTIL,FAID1800,EA,38.000,0.000,0000000000,1,24.93,0,000,X,0000000000,B,Verbandkasten,0,X,MI00
