AEDAT,AWSYS,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,FRATH,MANDT,MBLNR,MJAHR,SPE_BUDAT_UHR,TCODE2,USNAM,VGART,WEVER
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:40:41,0.00,204,5000000242,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:41:45,0.00,204,5000000243,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:42:45,0.00,204,5000000244,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:43:50,0.00,204,5000000245,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:44:52,0.00,204,5000000246,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:50:17,0.00,204,5000000247,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:51:21,0.00,204,5000000248,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:52:23,0.00,204,5000000249,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:53:27,0.00,204,5000000250,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:54:27,0.00,204,5000000251,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:56:33,0.00,204,5000000252,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:57:39,0.00,204,5000000253,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:58:43,0.00,204,5000000254,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,18:59:49,0.00,204,5000000255,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:00:55,0.00,204,5000000256,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:01:59,0.00,204,5000000257,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:03:01,0.00,204,5000000258,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:04:07,0.00,204,5000000259,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:06:11,0.00,204,5000000260,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:07:16,0.00,204,5000000261,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:08:18,0.00,204,5000000262,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:09:22,0.00,204,5000000263,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:10:25,0.00,204,5000000264,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:11:30,0.00,204,5000000265,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:12:28,0.00,204,5000000266,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:13:31,0.00,204,5000000267,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:14:37,0.00,204,5000000268,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:15:42,0.00,204,5000000269,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:16:43,0.00,204,5000000270,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:17:50,0.00,204,5000000271,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:18:52,0.00,204,5000000272,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:19:52,0.00,204,5000000273,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:20:53,0.00,204,5000000274,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:21:59,0.00,204,5000000275,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:22:59,0.00,204,5000000276,2026,00:00:00,MB01,LEARN-802,WE,1
00/00/0000,A04CLNT204,WE,PR,06/01/2026,06/01/2026,06/01/2026,19:24:01,0.00,204,5000000277,2026,00:00:00,MB01,LEARN-802,WE,1
