BELNR,BKLAS,BNKAN,BPMNG,BPRBM,BPRME,BSTME,BUKRS,BUSTW,BUZEI,BWKEY,EBELN,EBELP,ERP_CONTRACT_ITM,EXKBE,GJAHR,INTROW,INVREL,LBKUM,LFGJA,LFPOS,MANDT,MATBF,MATNR,MEINS,MENGE,MWSKZ,PACKNO,PSTYP,RBMNG,RBWWR,RETAMT_FC,RETDUEDT,RETPC,SALK3,SHKZG,SPGRT,SRM_CONTRACT_ITM,SRVMAPKEY,STOCK_POSTING,STOCK_POSTING_PP,STOCK_POSTING_PY,STUNR,TXJCD,VMSAL,VRKUM,WERKS,WRBTR,ZAEHK,ZEKKN
5105600302,3100,0.00,71.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000275,00010,00000,X,2026,0000000000,000000,"1,132.800",0000,0000,204,RHMT1800,RHMT1800,EA,71.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"29,128.39",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,847.42",000,00
5105600303,3100,0.00,31.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000277,00010,00000,X,2026,0000000000,000000,912.000,0000,0000,204,FAID1800,FAID1800,EA,31.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"22,326.41",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,768.18,000,00
5105600304,3100,0.00,99.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000278,00010,00000,X,2026,0000000000,000000,"2,877.600",0000,0000,204,CHSP1800,CHSP1800,EA,99.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"79,594.93",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,825.46",000,00
5105600305,3100,0.00,230.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000279,00010,00000,X,2026,0000000000,000000,"5,260.200",0000,0000,204,BOTL1800,BOTL1800,EA,230.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"57,566.86",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,467.90",000,00
5105600306,3100,0.00,19.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000276,00010,00000,X,2026,0000000000,000000,921.400,0000,0000,204,KPAD1800,KPAD1800,EA,19.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"36,901.59",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,770.07,000,00
5105600307,3100,0.00,40.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000280,00010,00000,X,2026,0000000000,000000,952.000,0000,0000,204,FAID1800,FAID1800,EA,40.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"23,356.01",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,029.60",000,00
5105600308,3100,0.00,61.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000285,00010,00000,X,2026,0000000000,000000,"1,209.000",0000,0000,204,CHLK1800,CHLK1800,EA,61.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"41,280.21",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,087.42",000,00
5105600309,3100,0.00,130.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000286,00010,00000,X,2026,0000000000,000000,"3,150.200",0000,0000,204,SHRT1800,SHRT1800,EA,130.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"43,966.05",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"1,814.80",000,00
5105600310,3100,0.00,176.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000287,00010,00000,X,2026,0000000000,000000,"3,239.000",0000,0000,204,RKIT1800,RKIT1800,EA,176.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"45,608.67",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,687.52",000,00
5105600311,3100,0.00,225.000,0.000,EA,EA,US00,RE01,000001,MI00,4500000288,00010,00000,X,2026,0000000000,000000,"5,485.200",0000,0000,204,BOTL1800,BOTL1800,EA,225.000,XI,0000000000,0,0.000,0.00,0.00,00/00/0000,0.00,"60,048.61",S,X,0000000000,0000000000,0.00,0.00,0.00,000,FL0000000,0.00,0.000,MI00,"2,481.75",000,00
