CHANGENR,CHANGE_IND,LANGU,MANDANT,OBJECTCLAS,OBJECTID,TCODE,UDATE,USERNAME,UTIME,VERSION,_DATAAGING
0000735318,U,D,204,ADRESSE,ME020000130026,,06/01/2026,inventory_manager_mi00,08:41:13,000,00/00/0000
0000735321,U,D,204,ADRESSE,ME020000130027,ME21N,06/01/2026,buyer_mi00,11:01:13,000,00/00/0000
0000735323,U,D,204,ADRESSE,ME020000130028,,06/01/2026,inventory_manager_mi00,09:04:59,000,00/00/0000
0000735326,U,D,204,ADRESSE,ME020000130029,ME21N,06/01/2026,buyer_mi00,11:39:59,000,00/00/0000
0000735328,U,D,204,ADRESSE,ME020000130030,,06/01/2026,inventory_manager_mi00,09:42:52,000,00/00/0000
0000735331,U,D,204,ADRESSE,ME020000130031,ME21N,06/01/2026,buyer_mi00,11:14:52,000,00/00/0000
0000735333,U,D,204,ADRESSE,ME020000130032,,06/01/2026,inventory_manager_mi00,10:39:04,000,00/00/0000
0000735336,U,D,204,ADRESSE,ME020000130033,ME21N,06/01/2026,buyer_mi00,11:23:52,000,00/00/0000
0000735338,U,D,204,ADRESSE,ME020000130034,,06/01/2026,inventory_manager_mi00,10:50:04,000,00/00/0000
0000735341,U,D,204,ADRESSE,ME020000130035,ME21N,06/01/2026,buyer_mi00,12:53:04,000,00/00/0000
0000735343,U,D,204,ADRESSE,ME020000130036,,06/01/2026,inventory_manager_mi00,13:54:51,000,00/00/0000
0000735346,U,D,204,ADRESSE,ME020000130037,ME21N,06/01/2026,buyer_mi00,15:09:51,000,00/00/0000
0000735348,U,D,204,ADRESSE,ME020000130038,,06/01/2026,inventory_manager_mi00,14:27:03,000,00/00/0000
0000735351,U,D,204,ADRESSE,ME020000130039,ME21N,06/02/2026,buyer_mi00,08:08:00,000,00/00/0000
0000735353,U,D,204,ADRESSE,ME020000130040,,06/01/2026,inventory_manager_mi00,15:14:33,000,00/00/0000
0000735356,U,D,204,ADRESSE,ME020000130041,ME21N,06/01/2026,buyer_mi00,16:39:33,000,00/00/0000
0000735358,U,D,204,ADRESSE,ME020000130042,,06/01/2026,inventory_manager_mi00,16:01:31,000,00/00/0000
0000735363,U,D,204,ADRESSE,ME020000130043,ME21N,06/02/2026,buyer_mi00,08:19:00,000,00/00/0000
0000735365,U,D,204,ADRESSE,ME020000130044,,06/02/2026,inventory_manager_mi00,08:15:00,000,00/00/0000
0000735368,U,D,204,ADRESSE,ME020000130045,ME21N,06/02/2026,buyer_mi00,10:20:00,000,00/00/0000
0000735370,U,D,204,ADRESSE,ME020000130046,,06/02/2026,inventory_manager_mi00,08:44:13,000,00/00/0000
