ABSGR,AEDAT,ANGDT,BEDAT,BNDDT,BSART,BSTYP,BUKRS,BWBDT,DPAMT,DPDAT,DPPCT,EBELN,EKGRP,EKORG,ERNAM,GWLDT,IHRAN,KALSM,KDATB,KDATE,KNUMV,KTWRT,LANDS,LASTCHANGEDATETIME,LIFNR,LPONR,MANDT,PINCR,PROCSTAT,RETPC,RLWRT,SPRAS,STAFO,STATU,STCEG_L,UPINC,WAERS,WKURS,ZBD1P,ZBD1T,ZBD2P,ZBD2T,ZBD3T,ZTERM
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000275,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000294,0.00,US,"20,260,601,170,113.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000276,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000295,0.00,US,"20,260,601,173,959.0000000",0000101800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000277,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000296,0.00,US,"20,260,601,171,452.0000000",0000112800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000278,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000297,0.00,US,"20,260,601,172,352.0000000",0001003070,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000279,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000298,0.00,US,"20,260,601,185,304.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000280,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000299,0.00,US,"20,260,601,210,951.0000000",0000112800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000281,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000300,0.00,US,"20,260,602,140,800.0000000",0000103800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000282,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000301,0.00,US,"20,260,601,223,933.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000283,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000302,0.00,US,"20,260,602,141,900.0000000",0000109800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000284,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000303,0.00,US,"20,260,602,162,000.0000000",0000101800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000285,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000304,0.00,US,"20,260,602,171,508.0000000",0000103800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000286,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000305,0.00,US,"20,260,602,163,318.0000000",0000110800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000287,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000306,0.00,US,"20,260,602,170,608.0000000",0000112800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000288,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000307,0.00,US,"20,260,602,231,609.0000000",0000110800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000289,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000308,0.00,US,"20,260,603,141,200.0000000",0001003070,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000290,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000309,0.00,US,"20,260,602,221,748.0000000",0000101800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000291,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000310,0.00,US,"20,260,603,142,600.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000292,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000311,0.00,US,"20,260,603,143,900.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000293,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000312,0.00,US,"20,260,603,151,500.0000000",0000103800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000294,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000313,0.00,US,"20,260,603,173,600.0000000",0000106800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000295,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000314,0.00,US,"20,260,603,165,554.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000296,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000315,0.00,US,"20,260,603,183,200.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000297,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000316,0.00,US,"20,260,603,170,854.0000000",0001003070,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000298,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000317,0.00,US,"20,260,603,193,520.0000000",0000109800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000299,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000318,0.00,US,"20,260,603,195,748.0000000",0000103800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000300,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000319,0.00,US,"20,260,603,202,300.0000000",0000110800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000301,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000320,0.00,US,"20,260,603,214,305.0000000",0000101800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/03/2026,00/00/0000,06/03/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000302,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000321,0.00,US,"20,260,603,220,305.0000000",0000101800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/04/2026,00/00/0000,06/04/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000303,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000322,0.00,US,"20,260,604,141,300.0000000",0000101800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/04/2026,00/00/0000,06/04/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000304,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000323,0.00,US,"20,260,604,153,600.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
