ABDAT,ABFTZ,ABMNG,ADRNR,AEDAT,AGDAT,ARSNR,ARSPS,BPRME,BPUMN,BPUMZ,BRTWR,BSTYP,BUKRS,EBELN,EBELP,EFFWR,ELIKZ,EMATN,ETFZ1,ETFZ2,GEWEI,INFNR,KTMNG,KTPNR,LMEIN,MAHN1,MAHN2,MAHN3,MAHNZ,MANDT,MATKL,MATNR,MEINS,MENGE,MWSKZ,NAVNW,NETPR,NETWR,NTGEW,PEINH,PLIFZ,PRDAT,PRSDR,PSTYP,REPOS,SPINF,STAFO,TXDAT,TXDAT_FROM,TXJCD,TXZ01,UEBTO,UMREN,UMREZ,UNIQUEID,UNTTO,WEBAZ,WEPOS,WERKS,ZWERT
00/00/0000,0.000,0.000,0000130027,06/01/2026,00/00/0000,0000000000,0000,EA,1,1,"1,847.42",F,US00,4500000275,00010,"1,847.42",X,RHMT1800,0,0,OZ,5300000020,0.000,00000,EA,0,0,0,0,204,SFTY,RHMT1800,EA,71.000,XI,0.00,26.02,"1,847.42",10.000,1,1,06/01/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Road Helmet,0.0,1,1,450000027500010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130029,06/01/2026,00/00/0000,0000000000,0000,EA,1,1,770.07,F,US00,4500000276,00010,770.07,X,KPAD1800,0,0,OZ,5300000019,0.000,00000,EA,0,0,0,0,204,SFTY,KPAD1800,EA,19.000,XI,0.00,40.53,770.07,16.000,1,1,06/01/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Knee Pads,0.0,1,1,450000027600010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130031,06/01/2026,00/00/0000,0000000000,0000,EA,1,1,768.18,F,US00,4500000277,00010,768.18,X,FAID1800,0,0,OZ,5300000031,0.000,00000,EA,0,0,0,0,204,UTIL,FAID1800,EA,31.000,XI,0.00,24.78,768.18,12.000,1,1,06/01/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,First Aid Kit,0.0,1,1,450000027700010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130033,06/01/2026,00/00/0000,0000000000,0000,EA,1,1,"2,825.46",F,US00,4500000278,00010,"2,825.46",X,CHSP1800,0,0,OZ,5300000011,0.000,00000,EA,0,0,0,0,204,UTIL,CHSP1800,EA,99.000,XI,0.00,28.54,"2,825.46",0.000,1,6,06/01/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock Security Pro 800,0.0,1,1,450000027800010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130035,06/01/2026,00/00/0000,0000000000,0000,EA,1,1,"2,467.90",F,US00,4500000279,00010,"2,467.90",X,BOTL1800,0,0,OZ,5300000014,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,230.000,XI,0.00,10.73,"2,467.90",1.000,1,1,06/01/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000027900010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130037,06/01/2026,00/00/0000,0000000000,0000,EA,1,1,"1,029.60",F,US00,4500000280,00010,"1,029.60",X,FAID1800,0,0,OZ,5300000031,0.000,00000,EA,0,0,0,0,204,UTIL,FAID1800,EA,40.000,XI,0.00,25.74,"1,029.60",12.000,1,1,06/01/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,First Aid Kit,0.0,1,1,450000028000010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130039,06/02/2026,00/00/0000,0000000000,0000,EA,1,1,"1,926.03",F,US00,4500000281,00010,"1,926.03",X,CHLK1800,0,0,OZ,5300000012,0.000,00000,EA,0,0,0,0,204,UTIL,CHLK1800,EA,57.000,XI,0.00,33.79,"1,926.03",0.000,1,6,06/02/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Chain Lock 800,0.0,1,1,450000028100010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130041,06/01/2026,00/00/0000,0000000000,0000,EA,1,1,"2,425.20",F,US00,4500000282,00010,"2,425.20",X,BOTL1800,0,0,OZ,5300000014,0.000,00000,EA,0,0,0,0,204,UTIL,BOTL1800,EA,215.000,XI,0.00,11.28,"2,425.20",1.000,1,1,06/01/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,Water Bottle,0.0,1,1,450000028200010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130043,06/02/2026,00/00/0000,0000000000,0000,EA,1,1,"1,933.20",F,US00,4500000283,00010,"1,933.20",X,SHRT1800,0,0,OZ,5300000026,0.000,00000,EA,0,0,0,0,204,UTIL,SHRT1800,EA,135.000,XI,0.00,14.32,"1,933.20",16.000,1,1,06/02/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,T-shirt,0.0,1,1,450000028300010,0.0,0,X,MI00,0.00
00/00/0000,0.000,0.000,0000130045,06/02/2026,00/00/0000,0000000000,0000,EA,1,1,947.34,F,US00,4500000284,00010,947.34,X,FAID1800,0,0,OZ,5300000018,0.000,00000,EA,0,0,0,0,204,UTIL,FAID1800,EA,38.000,XI,0.00,24.93,947.34,12.000,1,1,06/02/2026,X,0,X,C,SAP,00/00/0000,00/00/0000,FL0000000,First Aid Kit,0.0,1,1,450000028400010,0.0,0,X,MI00,0.00
