AEDAT,AWSYS,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,FRATH,MANDT,MBLNR,MJAHR,SPE_BUDAT_UHR,TCODE2,USNAM,VGART,WEVER
00/00/0000,A04CLNT204,WE,PR,06/15/2026,06/15/2026,06/15/2026,08:11:00,0.00,204,5000000242,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/15/2026,06/15/2026,06/15/2026,08:24:00,0.00,204,5000000243,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/15/2026,06/15/2026,06/15/2026,08:35:00,0.00,204,5000000244,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/15/2026,06/15/2026,06/15/2026,08:49:00,0.00,204,5000000245,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/15/2026,06/15/2026,06/15/2026,08:56:00,0.00,204,5000000246,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,08:13:00,0.00,204,5000000247,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/17/2026,06/17/2026,06/17/2026,08:09:00,0.00,204,5000000248,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/17/2026,06/17/2026,06/17/2026,08:20:00,0.00,204,5000000249,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/17/2026,06/17/2026,06/17/2026,08:31:00,0.00,204,5000000250,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/17/2026,06/17/2026,06/17/2026,08:39:00,0.00,204,5000000251,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,08:31:00,0.00,204,5000000252,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,08:44:00,0.00,204,5000000253,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,09:01:00,0.00,204,5000000254,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,09:12:00,0.00,204,5000000255,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,09:25:00,0.00,204,5000000256,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/19/2026,06/19/2026,06/19/2026,08:11:00,0.00,204,5000000257,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/19/2026,06/19/2026,06/19/2026,08:25:00,0.00,204,5000000258,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/19/2026,06/19/2026,06/19/2026,08:17:00,0.00,204,5000000259,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,09:38:00,0.00,204,5000000260,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,09:56:00,0.00,204,5000000261,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,10:11:00,0.00,204,5000000262,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,10:20:00,0.00,204,5000000263,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
00/00/0000,A04CLNT204,WE,PR,06/22/2026,06/22/2026,06/22/2026,10:37:00,0.00,204,5000000264,2026,00:00:00,MB01,goods_receipt_clerk_mi00,WE,1
