BNBTR,BPMNG,BPRME,BUALT,BUKRS,BUZEI,BUZUM,BWART,BWLVS,DMBTR,DMBUM,EBELN,EBELP,ELIKZ,ERFME,ERFMG,GJAHR,GSBER,INSMK,KDEIN,KDPOS,KOKRS,KOSTL,KZBEW,KZSTR,LFBJA,LFPOS,LGORT,LIFNR,LINE_DEPTH,LINE_ID,MAA_URZEI,MANDT,MATNR,MBLNR,MEINS,MENGE,MJAHR,PALAN,PARENT_ID,PARGB,PBAMG,RSNUM,RSPOS,SGTXT,SHKZG,SJAHR,SMBLP,TBNUM,TBPOS,WAERS,WERKS,ZEILE
0.00,71.000,EA,0.00,US00,000,000,101,000,"1,847.42",0.00,4500000275,00010,X,EA,71.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,RHMT1800,5000000242,EA,71.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,15.200,EA,0.00,US00,000,000,101,000,616.06,0.00,4500000276,00010,,EA,15.200,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,KPAD1800,5000000243,EA,15.200,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,3.800,EA,0.00,US00,000,000,101,000,154.01,0.00,4500000276,00010,X,EA,3.800,2026,BI00,X,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000002,0000,204,KPAD1800,5000000243,EA,3.800,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0002
0.00,31.000,EA,0.00,US00,000,000,101,000,768.18,0.00,4500000277,00010,X,EA,31.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000001,0000,204,FAID1800,5000000244,EA,31.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,99.000,EA,0.00,US00,000,000,101,000,"2,825.46",0.00,4500000278,00010,X,EA,99.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0001003070,00,000001,0000,204,CHSP1800,5000000245,EA,99.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,230.000,EA,0.00,US00,000,000,101,000,"2,467.90",0.00,4500000279,00010,X,EA,230.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,BOTL1800,5000000246,EA,230.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,40.000,EA,0.00,US00,000,000,101,000,"1,029.60",0.00,4500000280,00010,X,EA,40.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000001,0000,204,FAID1800,5000000247,EA,40.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,61.000,EA,0.00,US00,000,000,101,000,"2,087.42",0.00,4500000285,00010,X,EA,61.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000103800,00,000001,0000,204,CHLK1800,5000000248,EA,61.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,130.000,EA,0.00,US00,000,000,101,000,"1,814.80",0.00,4500000286,00010,X,EA,130.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000001,0000,204,SHRT1800,5000000249,EA,130.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,176.000,EA,0.00,US00,000,000,101,000,"2,687.52",0.00,4500000287,00010,X,EA,176.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000112800,00,000001,0000,204,RKIT1800,5000000250,EA,176.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,225.000,EA,0.00,US00,000,000,101,000,"2,481.75",0.00,4500000288,00010,X,EA,225.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000110800,00,000001,0000,204,BOTL1800,5000000251,EA,225.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,57.000,EA,0.00,US00,000,000,101,000,"1,926.03",0.00,4500000281,00010,X,EA,57.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000103800,00,000001,0000,204,CHLK1800,5000000252,EA,57.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,215.000,EA,0.00,US00,000,000,101,000,"2,425.20",0.00,4500000282,00010,X,EA,215.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,BOTL1800,5000000253,EA,215.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,64.000,EA,0.00,US00,000,000,101,000,"2,151.04",0.00,4500000289,00010,X,EA,64.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0001003070,00,000001,0000,204,CHLK1800,5000000254,EA,64.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,19.000,EA,0.00,US00,000,000,101,000,770.45,0.00,4500000290,00010,X,EA,19.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000101800,00,000001,0000,204,EPAD1800,5000000255,EA,19.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,215.000,EA,0.00,US00,000,000,101,000,"2,399.40",0.00,4500000291,00010,X,EA,215.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,BOTL1800,5000000256,EA,215.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,220.000,EA,0.00,US00,000,000,101,000,"2,459.60",0.00,4500000295,00010,X,EA,220.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,BOTL1800,5000000257,EA,220.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,195.000,EA,0.00,US00,000,000,101,000,"2,172.30",0.00,4500000296,00010,X,EA,195.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,BOTL1800,5000000258,EA,195.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,95.000,EA,0.00,US00,000,000,101,000,"2,609.65",0.00,4500000297,00010,X,EA,95.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0001003070,00,000001,0000,204,CHSP1800,5000000259,EA,95.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,21.000,EA,0.00,US00,000,000,101,000,847.35,0.00,4500000293,00010,X,EA,21.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000103800,00,000001,0000,204,KPAD1800,5000000260,EA,21.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,205.000,EA,0.00,US00,000,000,101,000,"2,195.55",0.00,4500000292,00010,X,EA,205.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000107800,00,000001,0000,204,BOTL1800,5000000261,EA,205.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
0.00,215.000,EA,0.00,US00,000,000,101,000,"2,210.20",0.00,4500000294,00010,X,EA,215.000,2026,BI00,,0000,000000,NA00,,B,2,0000,0000,TG00,0000106800,00,000001,0000,204,CAGE1800,5000000262,EA,215.000,2026,0,000000,BI00,0.000,0000000000,0000,,S,0000,0000,0000000000,0000,USD,MI00,0001
