ARKUEMW,ARKUEN,BELNR,BEZNK,BLART,BLDAT,BUDAT,BUKRS,CPUDT,CPUTM,CTXKRS,GJAHR,KURSF,LIEFFMW,LIEFFN,LIFNR,LOGSYS,MAKZMW,MAKZN,MANDT,MONAT,MWSKZ1,QSFBT,QSSHB,RBSTAT,REBZJ,RMWWR,SAPRL,STJAH,TCODE,TXDAT,TXDAT_FROM,TXKRS,USNAM,VATDATE,VGART,WAERS,WMWST1,WMWST2,WSKTO,XMWST,XRBTX,XRECH,ZBD1P,ZBD1T,ZBD2P,ZBD2T,ZBD3T,ZFBDT
0.00,0.00,5105600302,0.00,RE,06/15/2026,06/01/2026,US00,06/16/2026,14:13:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,847.42",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600303,0.00,RE,06/15/2026,06/01/2026,US00,06/16/2026,14:10:00,0.00000,2026,1.00000,0.00,0.00,0000112800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,768.18,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600304,0.00,RE,06/15/2026,06/01/2026,US00,06/16/2026,14:20:00,0.00000,2026,1.00000,0.00,0.00,0001003070,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,825.46",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600305,0.00,RE,06/15/2026,06/01/2026,US00,06/16/2026,14:25:00,0.00000,2026,1.00000,0.00,0.00,0000107800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,467.90",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600306,0.00,RE,06/15/2026,06/01/2026,US00,06/16/2026,14:28:00,0.00000,2026,1.00000,0.00,0.00,0000101800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,770.07,758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600307,0.00,RE,06/22/2026,06/01/2026,US00,06/22/2026,22:46:00,0.00000,2026,1.00000,0.00,0.00,0000112800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,029.60",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600308,0.00,RE,06/17/2026,06/01/2026,US00,06/18/2026,14:14:00,0.00000,2026,1.00000,0.00,0.00,0000103800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,087.42",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600309,0.00,RE,06/17/2026,06/01/2026,US00,06/17/2026,18:59:00,0.00000,2026,1.00000,0.00,0.00,0000110800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"1,814.80",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600310,0.00,RE,06/17/2026,06/01/2026,US00,06/18/2026,14:15:00,0.00000,2026,1.00000,0.00,0.00,0000112800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,687.52",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,chief_accountant_US,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
0.00,0.00,5105600311,0.00,RE,06/17/2026,06/01/2026,US00,06/18/2026,14:22:00,0.00000,2026,1.00000,0.00,0.00,0000110800,A04CLNT204,0.00,0.00,204,06,XI,0.00,0.00,5,0000,"2,481.75",758,0000,MIRO,00/00/0000,00/00/0000,1.00000,accounts_payable_clerk_mi00,00/00/0000,RD,USD,0.00,0.00,0.00,X,X,X,0.000,0,0.000,0,0,06/01/2026
