case_id,field,planned_step_id,raw_value,reason,synthetic_value,table
C001,UDATE,C001_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C001,UTIME,C001_A1,18:39:12,synthetic_timestamp_projection,08:41:13,CDHDR
C001,USERNAME,C001_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C001,UDATE,C001_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C001,UTIME,C001_A2,18:39:57,synthetic_timestamp_projection,11:01:13,CDHDR
C001,USERNAME,C001_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C002,UDATE,C002_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C002,UTIME,C002_A1,18:40:16,synthetic_timestamp_projection,09:04:59,CDHDR
C002,USERNAME,C002_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C002,UDATE,C002_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C002,UTIME,C002_A2,18:40:56,synthetic_timestamp_projection,11:39:59,CDHDR
C002,USERNAME,C002_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C003,UDATE,C003_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C003,UTIME,C003_A1,18:41:18,synthetic_timestamp_projection,09:42:52,CDHDR
C003,USERNAME,C003_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C003,UDATE,C003_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C003,UTIME,C003_A2,18:42:00,synthetic_timestamp_projection,11:14:52,CDHDR
C003,USERNAME,C003_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C004,UDATE,C004_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C004,UTIME,C004_A1,18:42:20,synthetic_timestamp_projection,10:39:04,CDHDR
C004,USERNAME,C004_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C004,UDATE,C004_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C004,UTIME,C004_A2,18:43:02,synthetic_timestamp_projection,11:23:52,CDHDR
C004,USERNAME,C004_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C005,UDATE,C005_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C005,UTIME,C005_A1,18:43:23,synthetic_timestamp_projection,10:50:04,CDHDR
C005,USERNAME,C005_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C005,UDATE,C005_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C005,UTIME,C005_A2,18:44:09,synthetic_timestamp_projection,12:53:04,CDHDR
C005,USERNAME,C005_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C006,UDATE,C006_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C006,UTIME,C006_A1,18:44:28,synthetic_timestamp_projection,13:54:51,CDHDR
C006,USERNAME,C006_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C006,UDATE,C006_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C006,UTIME,C006_A2,18:45:09,synthetic_timestamp_projection,15:09:51,CDHDR
C006,USERNAME,C006_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C007,UDATE,C007_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C007,UTIME,C007_A1,18:45:31,synthetic_timestamp_projection,14:27:03,CDHDR
C007,USERNAME,C007_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C007,UDATE,C007_A2,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C007,UTIME,C007_A2,18:46:14,synthetic_timestamp_projection,08:08:00,CDHDR
C007,USERNAME,C007_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C008,UDATE,C008_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C008,UTIME,C008_A1,18:46:34,synthetic_timestamp_projection,15:14:33,CDHDR
C008,USERNAME,C008_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C008,UDATE,C008_B2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C008,UTIME,C008_B2,18:47:34,synthetic_timestamp_projection,16:39:33,CDHDR
C008,USERNAME,C008_B2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C009,UDATE,C009_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C009,UTIME,C009_A1,18:47:38,synthetic_timestamp_projection,16:01:31,CDHDR
C009,USERNAME,C009_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C009,UDATE,C009_B2,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C009,UTIME,C009_B2,18:48:41,synthetic_timestamp_projection,08:19:00,CDHDR
C009,USERNAME,C009_B2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C010,UDATE,C010_A1,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C010,UTIME,C010_A1,18:48:43,synthetic_timestamp_projection,08:15:00,CDHDR
C010,USERNAME,C010_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C010,UDATE,C010_B2,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C010,UTIME,C010_B2,18:49:45,synthetic_timestamp_projection,10:20:00,CDHDR
C010,USERNAME,C010_B2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C011,UDATE,C011_A1,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C011,UTIME,C011_A1,18:49:48,synthetic_timestamp_projection,08:44:13,CDHDR
C011,USERNAME,C011_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C011,UDATE,C011_A2,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C011,UTIME,C011_A2,18:50:34,synthetic_timestamp_projection,11:15:08,CDHDR
C011,USERNAME,C011_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C012,UDATE,C012_A1,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C012,UTIME,C012_A1,18:50:55,synthetic_timestamp_projection,09:21:18,CDHDR
C012,USERNAME,C012_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C012,UDATE,C012_A2,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C012,UTIME,C012_A2,18:51:39,synthetic_timestamp_projection,10:33:18,CDHDR
C012,USERNAME,C012_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C013,UDATE,C013_A1,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C013,UTIME,C013_A1,18:51:59,synthetic_timestamp_projection,10:09:08,CDHDR
C013,USERNAME,C013_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C013,UDATE,C013_A2,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C013,UTIME,C013_A2,18:52:42,synthetic_timestamp_projection,11:06:08,CDHDR
C013,USERNAME,C013_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C014,UDATE,C014_A1,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C014,UTIME,C014_A1,18:53:02,synthetic_timestamp_projection,14:22:09,CDHDR
C014,USERNAME,C014_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C001,UDATE,C001_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C001,UTIME,C001_A1,18:39:12,synthetic_timestamp_projection,08:41:13,CDHDR
C001,USERNAME,C001_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C001,UDATE,C001_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C001,UTIME,C001_A2,18:39:58,synthetic_timestamp_projection,11:01:13,CDHDR
C001,USERNAME,C001_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C002,UDATE,C002_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C002,UTIME,C002_A1,18:40:16,synthetic_timestamp_projection,09:04:59,CDHDR
C002,USERNAME,C002_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C002,UDATE,C002_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C002,UTIME,C002_A2,18:40:56,synthetic_timestamp_projection,11:39:59,CDHDR
C002,USERNAME,C002_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C003,UDATE,C003_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C003,UTIME,C003_A1,18:41:18,synthetic_timestamp_projection,09:42:52,CDHDR
C003,USERNAME,C003_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C003,UDATE,C003_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C003,UTIME,C003_A2,18:42:00,synthetic_timestamp_projection,11:14:52,CDHDR
C003,USERNAME,C003_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C004,UDATE,C004_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C004,UTIME,C004_A1,18:42:20,synthetic_timestamp_projection,10:39:04,CDHDR
C004,USERNAME,C004_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C004,UDATE,C004_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C004,UTIME,C004_A2,18:43:02,synthetic_timestamp_projection,11:23:52,CDHDR
C004,USERNAME,C004_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C005,UDATE,C005_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C005,UTIME,C005_A1,18:43:23,synthetic_timestamp_projection,10:50:04,CDHDR
C005,USERNAME,C005_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C005,UDATE,C005_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C005,UTIME,C005_A2,18:44:09,synthetic_timestamp_projection,12:53:04,CDHDR
C005,USERNAME,C005_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C006,UDATE,C006_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C006,UTIME,C006_A1,18:44:28,synthetic_timestamp_projection,13:54:51,CDHDR
C006,USERNAME,C006_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C006,UDATE,C006_A2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C006,UTIME,C006_A2,18:45:09,synthetic_timestamp_projection,15:09:51,CDHDR
C006,USERNAME,C006_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C007,UDATE,C007_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C007,UTIME,C007_A1,18:45:31,synthetic_timestamp_projection,14:27:03,CDHDR
C007,USERNAME,C007_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C007,UDATE,C007_A2,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C007,UTIME,C007_A2,18:46:14,synthetic_timestamp_projection,08:08:00,CDHDR
C007,USERNAME,C007_A2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C008,UDATE,C008_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C008,UTIME,C008_A1,18:46:34,synthetic_timestamp_projection,15:14:33,CDHDR
C008,USERNAME,C008_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C008,UDATE,C008_B2,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C008,UTIME,C008_B2,18:47:34,synthetic_timestamp_projection,16:39:33,CDHDR
C008,USERNAME,C008_B2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C009,UDATE,C009_A1,06/01/2026,synthetic_timestamp_projection,06/01/2026,CDHDR
C009,UTIME,C009_A1,18:47:38,synthetic_timestamp_projection,16:01:31,CDHDR
C009,USERNAME,C009_A1,LEARN-800,synthetic_timestamp_projection,inventory_manager_mi00,CDHDR
C009,UDATE,C009_B2,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C009,UTIME,C009_B2,18:48:41,synthetic_timestamp_projection,08:19:00,CDHDR
C009,USERNAME,C009_B2,LEARN-801,synthetic_timestamp_projection,buyer_mi00,CDHDR
C010,UDATE,C010_A1,06/01/2026,synthetic_timestamp_projection,06/02/2026,CDHDR
C010,UTIME,C010_A1,18:48:43,synthetic_timestamp_projection,08:15:00,CDHDR
