case_id,object_type,planned_step_id,row_key,sap_tcode,synthetic_actor_id,table,technical_sap_user_id,tool
C001,purchase_requisition,C001_A1,OBJECTCLAS=ADRESSE|OBJECTID=ME020000130026|CHANGENR=735318,,inventory_manager_mi00,CDHDR,TU_01,fiori.create_purchase_requisition
C001,purchase_requisition,C001_A1,OBJECTCLAS=BANF|OBJECTID=10000313|CHANGENR=735317,,inventory_manager_mi00,CDHDR,TU_01,fiori.create_purchase_requisition
C001,purchase_requisition,C001_A1,OBJECTCLAS=ADRESSE|OBJECTID=ME020000130026|CHANGENR=735318|TABNAME=ADRC|FNAME=KEY,,inventory_manager_mi00,CDPOS,TU_01,fiori.create_purchase_requisition
C001,purchase_requisition,C001_A1,OBJECTCLAS=BANF|OBJECTID=10000313|CHANGENR=735317|TABNAME=EBAN|FNAME=KEY,,inventory_manager_mi00,CDPOS,TU_01,fiori.create_purchase_requisition
C001,purchase_requisition,C001_A1,BANFN=10000313,,inventory_manager_mi00,EBAN,TU_01,fiori.create_purchase_requisition
C001,purchase_order,C001_A2,OBJECTCLAS=ADRESSE|OBJECTID=ME020000130027|CHANGENR=735321,ME21N,buyer_mi00,CDHDR,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,OBJECTCLAS=BANF|OBJECTID=10000313|CHANGENR=735320,ME21N,buyer_mi00,CDHDR,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,OBJECTCLAS=EINKBELEG|OBJECTID=4500000275|CHANGENR=735319,ME21N,buyer_mi00,CDHDR,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,OBJECTCLAS=ADRESSE|OBJECTID=ME020000130027|CHANGENR=735321|TABNAME=ADRC|FNAME=KEY,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,OBJECTCLAS=BANF|OBJECTID=10000313|CHANGENR=735320|TABNAME=EBAN|FNAME=BEDAT,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,OBJECTCLAS=BANF|OBJECTID=10000313|CHANGENR=735320|TABNAME=EBAN|FNAME=BSMNG,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,OBJECTCLAS=BANF|OBJECTID=10000313|CHANGENR=735320|TABNAME=EBAN|FNAME=EBELN,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,OBJECTCLAS=BANF|OBJECTID=10000313|CHANGENR=735320|TABNAME=EBAN|FNAME=EBELP,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,OBJECTCLAS=EINKBELEG|OBJECTID=4500000275|CHANGENR=735319|TABNAME=EKKO|FNAME=KEY,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,EBELN=4500000275,,buyer_mi00,EKKO,TU_02,fiori.create_purchase_order
C001,purchase_order,C001_A2,EBELN=4500000275|EBELP=10,,buyer_mi00,EKPO,TU_02,fiori.create_purchase_order
C001,material_document,C001_A3,MBLNR=5000000242|MJAHR=2026,MB01,goods_receipt_clerk_mi00,MKPF,TU_03,fiori.create_goods_receipt
C001,material_document,C001_A3,MBLNR=5000000242|MJAHR=2026|ZEILE=1,,goods_receipt_clerk_mi00,MSEG,TU_03,fiori.create_goods_receipt
C001,supplier_invoice,C001_A4,BELNR=5105600302|GJAHR=2026,MIRO,accounts_payable_clerk_mi00,RBKP,TU_04,fiori.create_supplier_invoice
C001,supplier_invoice,C001_A4,BELNR=5105600302|GJAHR=2026|BUZEI=1,,accounts_payable_clerk_mi00,RSEG,TU_04,fiori.create_supplier_invoice
C001,payment_document,C001_A5,BELNR=1500000169|BUKRS=US00|GJAHR=2026,FBDC_C014,chief_accountant_US,BKPF,TU_05,fiori.send_payment
C001,payment_document,C001_A5,BELNR=1500000169|BUKRS=US00|GJAHR=2026|BUZEI=1,,chief_accountant_US,BSEG,TU_05,fiori.send_payment
C001,payment_document,C001_A5,BELNR=1500000169|BUKRS=US00|GJAHR=2026|BUZEI=2,,chief_accountant_US,BSEG,TU_05,fiori.send_payment
C002,purchase_requisition,C002_A1,OBJECTCLAS=ADRESSE|OBJECTID=ME020000130028|CHANGENR=735323,,inventory_manager_mi00,CDHDR,TU_01,fiori.create_purchase_requisition
C002,purchase_requisition,C002_A1,OBJECTCLAS=BANF|OBJECTID=10000314|CHANGENR=735322,,inventory_manager_mi00,CDHDR,TU_01,fiori.create_purchase_requisition
C002,purchase_requisition,C002_A1,OBJECTCLAS=ADRESSE|OBJECTID=ME020000130028|CHANGENR=735323|TABNAME=ADRC|FNAME=KEY,,inventory_manager_mi00,CDPOS,TU_01,fiori.create_purchase_requisition
C002,purchase_requisition,C002_A1,OBJECTCLAS=BANF|OBJECTID=10000314|CHANGENR=735322|TABNAME=EBAN|FNAME=KEY,,inventory_manager_mi00,CDPOS,TU_01,fiori.create_purchase_requisition
C002,purchase_requisition,C002_A1,BANFN=10000314,,inventory_manager_mi00,EBAN,TU_01,fiori.create_purchase_requisition
C002,purchase_order,C002_A2,OBJECTCLAS=ADRESSE|OBJECTID=ME020000130029|CHANGENR=735326,ME21N,buyer_mi00,CDHDR,TU_02,fiori.create_purchase_order
C002,purchase_order,C002_A2,OBJECTCLAS=BANF|OBJECTID=10000314|CHANGENR=735325,ME21N,buyer_mi00,CDHDR,TU_02,fiori.create_purchase_order
C002,purchase_order,C002_A2,OBJECTCLAS=EINKBELEG|OBJECTID=4500000276|CHANGENR=735324,ME21N,buyer_mi00,CDHDR,TU_02,fiori.create_purchase_order
C002,purchase_order,C002_A2,OBJECTCLAS=ADRESSE|OBJECTID=ME020000130029|CHANGENR=735326|TABNAME=ADRC|FNAME=KEY,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C002,purchase_order,C002_A2,OBJECTCLAS=BANF|OBJECTID=10000314|CHANGENR=735325|TABNAME=EBAN|FNAME=BEDAT,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C002,purchase_order,C002_A2,OBJECTCLAS=BANF|OBJECTID=10000314|CHANGENR=735325|TABNAME=EBAN|FNAME=BSMNG,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C002,purchase_order,C002_A2,OBJECTCLAS=BANF|OBJECTID=10000314|CHANGENR=735325|TABNAME=EBAN|FNAME=EBELN,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
C002,purchase_order,C002_A2,OBJECTCLAS=BANF|OBJECTID=10000314|CHANGENR=735325|TABNAME=EBAN|FNAME=EBELP,,buyer_mi00,CDPOS,TU_02,fiori.create_purchase_order
